name,price_usd,subscription,purchases,est_gross_usd,users,likes,trial_days,freemium,third_party,publisher,created,updated,editor_types,tagline,id
Artifig AI - Your pair designer for Figma,3.0,True,11,33.0,9922,1016,0,True,False,artifig,2024-11-26,2026-03-16,"design,whiteboard","Chat to operate Figma, covering most plugin capabilities.",5266e2b1-3b20-4900-bc14-2f30dba5d824
Slide Watermark,4.0,False,8,32.0,859,42,0,True,False,zhengpq,2025-03-24,2025-03-31,slides,A Plugin For Quickly Adding Watermarks,e664c7de-2472-441e-9600-d5230d2401b2
World Map Generator,4.0,False,7,28.0,5171,20,0,True,False,tommyjepsen,2025-04-26,2025-05-01,design,World Map Generator with 20 different projections,bad97805-63e4-4cdd-ac79-163d3088c3b1
SVG Animate,9.0,True,3,27.0,77933,583,0,True,False,tstrebitzer,2024-11-25,2024-11-25,"design,dev_handoff",Bring your Figma creations to life with stunning animations and seamless export to web and video.,23b858fc-b332-4b6d-b471-6087e7d0bc32
Generator,25.0,True,1,25.0,9182,675,0,True,False,brainshift,2024-11-25,2024-11-25,design,Geometry nodes for Figma,ba81dcaf-b572-4cd7-a0cf-eb7b8b4dc03f
Grid-Feed,5.0,False,5,25.0,5439,50,0,True,False,timowielink,2024-11-26,2026-09-08,design,Seamlessly import your Instagram feed into Figma,f5ac55e3-540b-4ecd-a778-89c4d5fb2bb7
"Vector Illustrator — AI Illustration Generator, Text to SVG, Style-Matched Vector Art & Graphics",5.0,True,5,25.0,1712,8,0,True,False,chenmu,2026-08-24,2026-09-09,design,"From prompt to editable paths, upload references and keep every design consistently on brand.",0ea49828-b3d6-4997-a060-14e0cbf16bc8
Figma to Tailwind CSS AI,6.0,True,4,24.0,2615,50,0,True,False,keno_reloaded,2024-11-26,2026-03-18,design,"Convert Figma designs into Tailwind CSS, Improve with AI, generate themes and insert tailwind blocks",1f85d068-96da-43e5-bac4-58927feef684
Between Slides & Design (Figma and PPT),4.0,True,5,20.0,761,14,0,True,False,ggwaggwagi,2026-06-15,2026-06-17,design,"Figma to PowerPoint & PPT to Figma — export PPTX with text, shapes, images, video, tables, charts",d12cb973-22bf-47f3-8ff7-7a96fadf7540
BuddaAI - AI Design Partner,20.0,True,1,20.0,728,10,0,True,False,buddai,2025-11-02,2025-12-02,"design,whiteboard",Cursor for Figma – Your AI Design Partner,b90ea2fe-d528-43a1-aa97-3b8a3893c293
Grid Exterminator,4.0,False,5,20.0,324,0,0,True,False,marcelomussi,2024-11-26,2024-11-26,design,Unalive all grids from your screens with one click. 💀,6e579bab-887c-47d1-96e5-8bb6dd193ec5
Uixx - AI Review for UI/UX Design,18.0,True,1,18.0,5950,133,0,True,False,uixxai,2025-07-20,2026-03-07,"design,dev_handoff",AI review for UI/UX design with comments pinned to elements,b8554e8f-d3bd-4745-97e3-9ed56e0e601a
Fontma,9.0,False,2,18.0,969,9,0,True,False,fontma,2026-08-02,2026-08-04,design,"Turn Figma vectors into real fonts — TTF, OTF and WOFF.",d1ecf9d3-263a-4b97-b67f-ae13d49c2f25
Clear Annotations,2.0,False,8,16.0,489,5,0,True,False,zhengpq,2025-04-18,2025-04-29,"design,slides,whiteboard",A plugin for bulk deleting annotations,97de814e-f39b-485c-813d-a2806d134a4c
Colorwell,5.0,False,3,15.0,51971,328,0,True,False,dustin,2024-11-26,2024-11-26,"design,whiteboard",Mix colors like paint in Figma.,a3099060-465d-4b7f-a887-83f59eae02d8
